Variable,Comparison,Group A,Group B,Mean Rank A,Mean Rank B,z-statistic,Raw p-value,Bonferroni p-value,Bonferroni threshold,Significant (Bonferroni)
One-Way Cost (BDT),MRT (Metro Rail) vs Personal Motorcycle,MRT (Metro Rail),Personal Motorcycle,186.417,143.71,2.8561,0.0043,0.0257,0.0083,Yes
One-Way Cost (BDT),MRT (Metro Rail) vs Public Bus,MRT (Metro Rail),Public Bus,186.417,111.25,5.9814,0.0,0.0,0.0083,Yes
One-Way Cost (BDT),MRT (Metro Rail) vs Ridesharing (Uber/Pathao),MRT (Metro Rail),Ridesharing (Uber/Pathao),186.417,265.463,-4.6167,0.0,0.0,0.0083,Yes
One-Way Cost (BDT),Personal Motorcycle vs Public Bus,Personal Motorcycle,Public Bus,143.71,111.25,2.2614,0.0237,0.1424,0.0083,No
One-Way Cost (BDT),Personal Motorcycle vs Ridesharing (Uber/Pathao),Personal Motorcycle,Ridesharing (Uber/Pathao),143.71,265.463,-6.5907,0.0,0.0,0.0083,Yes
One-Way Cost (BDT),Public Bus vs Ridesharing (Uber/Pathao),Public Bus,Ridesharing (Uber/Pathao),111.25,265.463,-9.289,0.0,0.0,0.0083,Yes
Access Time (min),MRT (Metro Rail) vs Personal Motorcycle,MRT (Metro Rail),Personal Motorcycle,235.188,44.46,12.7333,0.0,0.0,0.0083,Yes
Access Time (min),MRT (Metro Rail) vs Public Bus,MRT (Metro Rail),Public Bus,235.188,171.179,5.0846,0.0,0.0,0.0083,Yes
Access Time (min),MRT (Metro Rail) vs Ridesharing (Uber/Pathao),MRT (Metro Rail),Ridesharing (Uber/Pathao),235.188,125.951,6.3688,0.0,0.0,0.0083,Yes
Access Time (min),Personal Motorcycle vs Public Bus,Personal Motorcycle,Public Bus,44.46,171.179,-8.8129,0.0,0.0,0.0083,Yes
Access Time (min),Personal Motorcycle vs Ridesharing (Uber/Pathao),Personal Motorcycle,Ridesharing (Uber/Pathao),44.46,125.951,-4.4036,0.0,0.0001,0.0083,Yes
Access Time (min),Public Bus vs Ridesharing (Uber/Pathao),Public Bus,Ridesharing (Uber/Pathao),171.179,125.951,2.7196,0.0065,0.0392,0.0083,Yes
In-Vehicle Time (min),MRT (Metro Rail) vs Personal Motorcycle,MRT (Metro Rail),Personal Motorcycle,82.276,180.016,-6.5085,0.0,0.0,0.0083,Yes
In-Vehicle Time (min),MRT (Metro Rail) vs Public Bus,MRT (Metro Rail),Public Bus,82.276,213.004,-10.358,0.0,0.0,0.0083,Yes
In-Vehicle Time (min),MRT (Metro Rail) vs Ridesharing (Uber/Pathao),MRT (Metro Rail),Ridesharing (Uber/Pathao),82.276,156.585,-4.3213,0.0,0.0001,0.0083,Yes
In-Vehicle Time (min),Personal Motorcycle vs Public Bus,Personal Motorcycle,Public Bus,180.016,213.004,-2.2883,0.0221,0.1327,0.0083,No
In-Vehicle Time (min),Personal Motorcycle vs Ridesharing (Uber/Pathao),Personal Motorcycle,Ridesharing (Uber/Pathao),180.016,156.585,1.2629,0.2066,1.0,0.0083,No
In-Vehicle Time (min),Public Bus vs Ridesharing (Uber/Pathao),Public Bus,Ridesharing (Uber/Pathao),213.004,156.585,3.3838,0.0007,0.0043,0.0083,Yes
Total Travel Time (min),MRT (Metro Rail) vs Personal Motorcycle,MRT (Metro Rail),Personal Motorcycle,118.568,130.032,-0.7632,0.4453,1.0,0.0083,No
Total Travel Time (min),MRT (Metro Rail) vs Public Bus,MRT (Metro Rail),Public Bus,118.568,216.392,-7.749,0.0,0.0,0.0083,Yes
Total Travel Time (min),MRT (Metro Rail) vs Ridesharing (Uber/Pathao),MRT (Metro Rail),Ridesharing (Uber/Pathao),118.568,137.28,-1.0879,0.2766,1.0,0.0083,No
Total Travel Time (min),Personal Motorcycle vs Public Bus,Personal Motorcycle,Public Bus,130.032,216.392,-5.9891,0.0,0.0,0.0083,Yes
Total Travel Time (min),Personal Motorcycle vs Ridesharing (Uber/Pathao),Personal Motorcycle,Ridesharing (Uber/Pathao),130.032,137.28,-0.3906,0.6961,1.0,0.0083,No
Total Travel Time (min),Public Bus vs Ridesharing (Uber/Pathao),Public Bus,Ridesharing (Uber/Pathao),216.392,137.28,4.7436,0.0,0.0,0.0083,Yes
