What is the TOTAL One-Way Cost of this trip?,Yes,No
15,2.2257,2.7743
20,5.3417,6.6583
25,0.4451,0.5549
30,4.8966,6.1034
35,1.3354,1.6646
40,8.9028,11.0972
50,14.6897,18.3103
55,1.3354,1.6646
60,16.4702,20.5298
65,2.6708,3.3292
70,15.5799,19.4201
75,1.3354,1.6646
80,11.1285,13.8715
85,1.7806,2.2194
90,8.4577,10.5423
95,1.3354,1.6646
100,24.0376,29.9624
110,1.3354,1.6646
120,2.2257,2.7743
130,0.4451,0.5549
150,1.3354,1.6646
170,0.4451,0.5549
200,0.4451,0.5549
205,0.4451,0.5549
210,0.4451,0.5549
220,1.3354,1.6646
240,0.4451,0.5549
250,0.4451,0.5549
260,0.8903,1.1097
270,0.4451,0.5549
280,0.8903,1.1097
284,0.4451,0.5549
290,0.8903,1.1097
300,1.7806,2.2194
320,0.8903,1.1097
330,0.8903,1.1097
345,0.4451,0.5549
350,1.3354,1.6646
360,0.4451,0.5549
370,0.4451,0.5549
400,0.8903,1.1097
