,Travel Cost x Premium Bus Acceptance (Row),Yes,No,Row Total
0,15,1 (20.0%),4 (80.0%),5
1,20,3 (25.0%),9 (75.0%),12
2,25,1 (100.0%),0 (0.0%),1
3,30,5 (45.5%),6 (54.5%),11
4,35,0 (0.0%),3 (100.0%),3
5,40,7 (35.0%),13 (65.0%),20
6,50,6 (18.2%),27 (81.8%),33
7,55,1 (33.3%),2 (66.7%),3
8,60,14 (37.8%),23 (62.2%),37
9,65,1 (16.7%),5 (83.3%),6
10,70,10 (28.6%),25 (71.4%),35
11,75,2 (66.7%),1 (33.3%),3
12,80,7 (28.0%),18 (72.0%),25
13,85,3 (75.0%),1 (25.0%),4
14,90,0 (0.0%),19 (100.0%),19
15,95,3 (100.0%),0 (0.0%),3
16,100,45 (83.3%),9 (16.7%),54
17,110,0 (0.0%),3 (100.0%),3
18,120,0 (0.0%),5 (100.0%),5
19,130,1 (100.0%),0 (0.0%),1
20,150,3 (100.0%),0 (0.0%),3
21,170,1 (100.0%),0 (0.0%),1
22,200,1 (100.0%),0 (0.0%),1
23,205,1 (100.0%),0 (0.0%),1
24,210,0 (0.0%),1 (100.0%),1
25,220,2 (66.7%),1 (33.3%),3
26,240,1 (100.0%),0 (0.0%),1
27,250,1 (100.0%),0 (0.0%),1
28,260,2 (100.0%),0 (0.0%),2
29,270,1 (100.0%),0 (0.0%),1
30,280,2 (100.0%),0 (0.0%),2
31,284,1 (100.0%),0 (0.0%),1
32,290,1 (50.0%),1 (50.0%),2
33,300,4 (100.0%),0 (0.0%),4
34,320,2 (100.0%),0 (0.0%),2
35,330,2 (100.0%),0 (0.0%),2
36,345,1 (100.0%),0 (0.0%),1
37,350,3 (100.0%),0 (0.0%),3
38,360,0 (0.0%),1 (100.0%),1
39,370,1 (100.0%),0 (0.0%),1
40,400,2 (100.0%),0 (0.0%),2
41,Column Total,142,177,319
